-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        12.50%      87.110ms        94.16%     655.995ms     327.997ms       0.000us         0.00%     229.047ms     114.523ms    -121.88 Mb    -121.88 Mb           0 b     -12.99 Gb             2  
                                             aten::item         0.07%     506.267us        73.91%     514.919ms     916.226us       0.000us         0.00%       3.008us       0.005us           0 b           0 b           0 b           0 b           562  
                                  cudaStreamSynchronize        73.84%     514.484ms        73.84%     514.484ms      85.747ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                              aten::_local_scalar_dense         0.02%     143.253us        73.83%     514.413ms     915.325us       3.008us         0.00%       3.008us       0.005us           0 b           0 b           0 b           0 b           562  
                                               aten::to         0.09%     630.875us         3.74%      26.029ms      71.902us       0.000us         0.00%      58.146ms     160.625us           0 b           0 b       7.75 Gb           0 b           362  
                                         aten::_to_copy         0.26%       1.783ms         3.65%      25.398ms      97.684us       0.000us         0.00%      58.146ms     223.639us           0 b           0 b       7.75 Gb           0 b           260  
                                            aten::copy_         0.32%       2.222ms         3.11%      21.645ms      80.765us      63.757ms         5.08%      63.757ms     237.900us           0 b           0 b           0 b           0 b           268  
                                         Data to device         0.05%     374.407us         2.58%      17.958ms       8.979ms       0.000us         0.00%      16.774ms       8.387ms           0 b           0 b     188.50 Mb      -9.38 Mb             2  
autograd::engine::evaluate_function: ConvolutionBack...         0.19%       1.327ms         2.58%      17.942ms     190.867us       0.000us         0.00%     266.005ms       2.830ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                           aten::conv2d         0.12%     869.641us         2.49%      17.334ms      92.201us       0.000us         0.00%     244.572ms       1.301ms           0 b           0 b       7.58 Gb           0 b           188  
                                        cudaMemcpyAsync         2.45%      17.058ms         2.45%      17.058ms       1.706ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                   ConvolutionBackward0         0.10%     722.632us         2.29%      15.968ms     169.868us       0.000us         0.00%     260.753ms       2.774ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.16%       8.070ms         2.19%      15.245ms     162.181us     259.651ms        20.68%     260.753ms       2.774ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
                                       cudaLaunchKernel         1.74%      12.126ms         1.74%      12.126ms       6.342us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1912  
                               Optimizer.step#Adam.step         1.01%       7.003ms         1.69%      11.772ms       5.886ms       0.000us         0.00%       8.448ms       4.224ms           0 b          -8 b           0 b    -191.98 Mb             2  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.17%       1.204ms         1.19%       8.304ms      90.256us       0.000us         0.00%      51.622ms     561.106us           0 b           0 b      -2.01 Gb      -4.51 Gb            92  
                                       aten::batch_norm         0.02%     161.183us         1.04%       7.274ms      79.069us       0.000us         0.00%      28.532ms     310.125us           0 b           0 b       2.51 Gb           0 b            92  
                           aten::_batch_norm_impl_index         0.05%     313.763us         1.02%       7.113ms      77.317us       0.000us         0.00%      28.532ms     310.125us           0 b           0 b       2.51 Gb           0 b            92  
                                CudnnBatchNormBackward0         0.08%     536.515us         1.02%       7.100ms      77.173us       0.000us         0.00%      51.622ms     561.106us           0 b           0 b       2.50 Gb           0 b            92  
                                 aten::cudnn_batch_norm         0.41%       2.888ms         0.98%       6.799ms      73.907us      28.532ms         2.27%      28.532ms     310.125us           0 b           0 b       2.51 Gb           0 b            92  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 696.717ms
Self CUDA time total: 1.255s
