-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.21%       1.549ms         9.71%      71.443ms     760.033us       0.000us         0.00%     266.174ms       2.832ms           0 b           0 b      -1.68 Gb      -5.42 Gb            94  
                                   ConvolutionBackward0         0.10%     751.896us         9.41%      69.240ms     736.600us       0.000us         0.00%     260.918ms       2.776ms           0 b           0 b       3.74 Gb           0 b            94  
                             aten::convolution_backward         1.76%      12.951ms         9.31%      68.488ms     728.601us     259.809ms        30.07%     260.918ms       2.776ms           0 b           0 b       3.74 Gb       3.63 Gb            94  
                                           aten::conv2d         0.09%     691.440us         2.55%      18.766ms      99.818us       0.000us         0.00%     244.386ms       1.300ms           0 b           0 b       7.58 Gb           0 b           188  
                                          ProfilerStep*         0.31%       2.311ms        86.02%     633.067ms     316.534ms       0.000us         0.00%     222.247ms     111.124ms           0 b           0 b           0 b    -619.75 Mb             2  
                                     Train Forward pass         0.00%       0.000us         0.00%       0.000us       0.000us     203.397ms        23.54%     203.397ms     101.698ms           0 b           0 b           0 b           0 b             2  
                                     Train Forward pass         1.19%       8.771ms         4.86%      35.768ms      17.884ms       0.000us         0.00%     202.833ms     101.416ms           0 b           0 b       8.72 Gb      -4.28 Gb             2  
                                      aten::convolution         0.09%     665.051us         0.89%       6.573ms      69.924us       0.000us         0.00%     115.431ms       1.228ms           0 b           0 b       2.93 Gb           0 b            94  
                                     aten::_convolution         0.06%     476.325us         0.80%       5.908ms      62.849us       0.000us         0.00%     115.431ms       1.228ms           0 b           0 b       2.93 Gb           0 b            94  
                                aten::cudnn_convolution         0.45%       3.324ms         0.73%       5.389ms      57.334us     112.837ms        13.06%     112.837ms       1.200ms           0 b           0 b       2.93 Gb       2.93 Gb            94  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      72.872ms         8.43%      72.872ms     135.449us           0 b           0 b           0 b           0 b           538  
                                            aten::copy_         0.30%       2.224ms         0.61%       4.518ms      16.734us      57.033ms         6.60%      58.001ms     214.820us           0 b           0 b           0 b      -9.38 Mb           270  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.20%       1.435ms         1.78%      13.124ms     142.650us       0.000us         0.00%      51.543ms     560.255us           0 b           0 b      -2.01 Gb      -4.51 Gb            92  
                                CudnnBatchNormBackward0         0.08%     556.998us         1.59%      11.688ms     127.048us       0.000us         0.00%      51.543ms     560.255us           0 b           0 b       2.50 Gb           0 b            92  
                        aten::cudnn_batch_norm_backward         0.34%       2.479ms         1.51%      11.131ms     120.994us      51.543ms         5.97%      51.543ms     560.255us           0 b           0 b       2.50 Gb           0 b            92  
                                               aten::to         0.08%     552.473us         1.36%      10.031ms      27.710us       0.000us         0.00%      51.469ms     142.180us           0 b           0 b       7.74 Gb           0 b           362  
                                         aten::_to_copy         0.22%       1.608ms         1.29%       9.479ms      36.739us       0.000us         0.00%      51.469ms     199.493us           0 b           0 b       7.74 Gb           0 b           258  
void cudnn::bn_bw_1C11_kernel_new<__half, float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      41.958ms         4.86%      41.958ms       1.614ms           0 b           0 b           0 b           0 b            26  
void cudnn::engines_precompiled::nhwcToNchwKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us      34.922ms         4.04%      34.922ms     130.306us           0 b           0 b           0 b           0 b           268  
sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.329ms         3.74%      32.329ms       3.233ms           0 b           0 b           0 b           0 b            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 735.925ms
Self CUDA time total: 864.021ms
