arch,encoder_name,train_loss,val_loss,epoch,learning_rate,final_dim,tiles_dim,logs_dir,model_dir
unet,resnet34,0.373,0.3522,22.0,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_22_final_dim_256_tiles_dim_512_val_loss_0.3522_train_loss_0.3730_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.4583,0.4013,22.0,0.001,256.0,1000,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/1000x1000/2024-07-31_17-09-39,models/model_epoch_22_final_dim_256_tiles_dim_1000_val_loss_0.4013_train_loss_0.4583_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.405,0.3838,24.0,0.001,256.0,768,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/768x768/2024-07-31_17-56-46,models/best/model_epoch_24_final_dim_256_tiles_dim_768_val_loss_0.3838_train_loss_0.4050_arch_unet_encoder_name_resnet34.pt
DeepLabV3Plus,resnet34,0.1376,0.2152,29.0,0.0001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/resnet34/tiles_256/512x512/2024-08-02_10-28-44,models/best/model_epoch_29_final_dim_256_tiles_dim_512_val_loss_0.2152_train_loss_0.1376_arch_DeepLabV3Plus_encoder_name_resnet34.pt
DeepLabV3Plus,resnet34,0.1272,0.2363,45.0,0.001,256.0,768,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/resnet34/tiles_256/768x768/2024-08-03_11-09-33,models/best/model_epoch_45_final_dim_256_tiles_dim_768_val_loss_0.2363_train_loss_0.1272_arch_DeepLabV3Plus_encoder_name_resnet34.pt
DeepLabV3Plus,resnet34,0.188,0.2637,30.0,0.001,256.0,1000,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/resnet34/tiles_256/1000x1000/2024-08-01_14-16-14,models/best/model_epoch_30_final_dim_256_tiles_dim_1000_val_loss_0.2637_train_loss_0.1880_arch_DeepLabV3Plus_encoder_name_resnet34.pt
DeepLabV3Plus,resnet34,0.26,0.3198,46.0,0.001,256.0,2000,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/resnet34/tiles_256/2000x2000/2024-08-01_13-57-20,models/best/model_epoch_46_final_dim_256_tiles_dim_2000_val_loss_0.3198_train_loss_0.2600_arch_DeepLabV3Plus_encoder_name_resnet34.pt
DeepLabV3Plus,mobilenet_v2,0.1749,0.2224,24.0,0.0001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/mobilenet_v2/tiles_256/512x512/2024-08-04_19-58-06,models/best/model_epoch_24_final_dim_256_tiles_dim_512_val_loss_0.2224_train_loss_0.1749_arch_DeepLabV3Plus_encoder_name_mobilenet_v2.pt
DeepLabV3Plus,mobilenet_v2,0.2327,0.2534,19.0,0.0001,256.0,768,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/mobilenet_v2/tiles_256/768x768/2024-08-04_20-39-54,models/best/model_epoch_19_final_dim_256_tiles_dim_768_val_loss_0.2534_train_loss_0.2327_arch_DeepLabV3Plus_encoder_name_mobilenet_v2.pt
DeepLabV3Plus,mobilenet_v2,0.188,0.268,46.0,0.0001,256.0,1000,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/mobilenet_v2/tiles_256/1000x1000/2024-08-04_20-57-06,models/best/model_epoch_46_final_dim_256_tiles_dim_1000_val_loss_0.2680_train_loss_0.1880_arch_DeepLabV3Plus_encoder_name_mobilenet_v2.pt
DeepLabV3Plus,mobilenet_v2,0.2635,0.3299,80.0,0.0001,256.0,2000,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/mobilenet_v2/tiles_256/2000x2000/2024-08-04_22-06-15,models/best/model_epoch_80_final_dim_256_tiles_dim_2000_val_loss_0.3299_train_loss_0.2635_arch_DeepLabV3Plus_encoder_name_mobilenet_v2.pt
DeepLabV3Plus,efficientnet-b5,0.167,0.215,14.0,0.0001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/efficientnet-b5/tiles_256/512x512/2024-08-03_15-18-23,models/best/model_epoch_14_final_dim_256_tiles_dim_512_val_loss_0.2150_train_loss_0.1670_arch_DeepLabV3Plus_encoder_name_efficientnet-b5.pt
DeepLabV3Plus,efficientnet-b5,0.179,0.2318,17.0,0.0001,256.0,768,/home/andrea/Documents/unimib/Environment/exam/logs/DeepLabV3Plus/efficientnet-b5/tiles_256/768x768/2024-08-04_23-05-21,models/best/model_epoch_17_final_dim_256_tiles_dim_768_val_loss_0.2318_train_loss_0.1790_arch_DeepLabV3Plus_encoder_name_efficientnet-b5.pt
