arch,encoder_name,train_loss,val_loss,epoch,learning_rate,final_dim,tiles_dim,logs_dir,model_dir
unet,resnet34,0.373,0.3522,22,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_22_final_dim_256_tiles_dim_512_val_loss_0.3522_train_loss_0.3730_arch_unet_encoder_name_resnet34.pt
unet,resnet34,1.0661,0.8304,1,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_1_final_dim_256_tiles_dim_512_val_loss_0.8304_train_loss_1.0661_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.847,0.7007,2,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_2_final_dim_256_tiles_dim_512_val_loss_0.7007_train_loss_0.8470_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.7694,0.6745,3,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_3_final_dim_256_tiles_dim_512_val_loss_0.6745_train_loss_0.7694_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.703,0.7243,4,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/model_epoch_4_final_dim_256_tiles_dim_512_val_loss_0.7243_train_loss_0.7030_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.6529,0.5863,5,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_5_final_dim_256_tiles_dim_512_val_loss_0.5863_train_loss_0.6529_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.6108,0.562,6,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_6_final_dim_256_tiles_dim_512_val_loss_0.5620_train_loss_0.6108_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.5873,0.5194,7,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_7_final_dim_256_tiles_dim_512_val_loss_0.5194_train_loss_0.5873_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.5539,0.4935,8,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_8_final_dim_256_tiles_dim_512_val_loss_0.4935_train_loss_0.5539_arch_unet_encoder_name_resnet34.pt
unet,resnet34,0.5535,0.4852,9,0.001,256.0,512,/home/andrea/Documents/unimib/Environment/exam/logs/unet/resnet34/tiles_256/512x512/2024-07-31_15-42-22,models/best/model_epoch_9_final_dim_256_tiles_dim_512_val_loss_0.4852_train_loss_0.5535_arch_unet_encoder_name_resnet34.pt
