-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      53.873ms        50.15%      53.873ms      53.873ms           0 b           0 b           0 b           0 b             1  
                                          ProfilerStep*        30.91%      22.169ms        87.71%      62.898ms      62.898ms       0.000us         0.00%      22.877ms      22.877ms     -18.00 Mb     -18.00 Mb           0 b    -820.38 Mb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.41%     296.253us         5.32%       3.816ms     190.813us       0.000us         0.00%      21.473ms       1.074ms           0 b           0 b    -144.15 Mb    -433.00 Mb            20  
                                   ConvolutionBackward0         0.29%     205.392us         4.69%       3.364ms     168.207us       0.000us         0.00%      20.655ms       1.033ms           0 b           0 b     288.85 Mb           0 b            20  
                             aten::convolution_backward         2.32%       1.666ms         4.40%       3.159ms     157.937us      20.655ms        19.23%      20.655ms       1.033ms           0 b           0 b     288.85 Mb     243.00 Mb            20  
                                           aten::conv2d         0.14%      99.821us         3.24%       2.324ms     116.200us       0.000us         0.00%       9.556ms     477.777us           0 b           0 b     297.50 Mb           0 b            20  
                                      aten::convolution         0.34%     246.274us         3.10%       2.224ms     111.209us       0.000us         0.00%       9.556ms     477.777us           0 b           0 b     297.50 Mb           0 b            20  
                                     aten::_convolution         0.24%     169.801us         2.76%       1.978ms      98.895us       0.000us         0.00%       9.556ms     477.777us           0 b           0 b     297.50 Mb           0 b            20  
                                aten::cudnn_convolution         1.63%       1.171ms         2.52%       1.808ms      90.405us       9.556ms         8.90%       9.556ms     477.777us           0 b           0 b     297.50 Mb     297.50 Mb            20  
                                               aten::to         0.11%      75.882us        10.19%       7.310ms     304.575us       0.000us         0.00%       6.393ms     266.375us           0 b           0 b      18.00 Mb           0 b            24  
                                         aten::_to_copy         0.16%     115.531us        10.09%       7.234ms       3.617ms       0.000us         0.00%       6.393ms       3.196ms           0 b           0 b      18.00 Mb           0 b             2  
                                            aten::copy_         0.14%     102.960us         9.78%       7.012ms       3.506ms       6.393ms         5.95%       6.393ms       3.196ms           0 b           0 b           0 b           0 b             2  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.393ms         5.95%       6.393ms       3.196ms           0 b           0 b           0 b           0 b             2  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       4.681ms         4.36%       4.681ms      49.798us           0 b           0 b           0 b           0 b            94  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.49%     348.971us         3.99%       2.864ms     143.207us       0.000us         0.00%       3.573ms     178.671us           0 b           0 b    -207.50 Mb    -505.54 Mb            20  
                                CudnnBatchNormBackward0         0.32%     230.092us         3.51%       2.515ms     125.759us       0.000us         0.00%       3.573ms     178.671us           0 b           0 b     298.04 Mb           0 b            20  
                        aten::cudnn_batch_norm_backward         2.02%       1.449ms         3.19%       2.285ms     114.254us       3.573ms         3.33%       3.573ms     178.671us           0 b           0 b     298.04 Mb           0 b            20  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       3.301ms         3.07%       3.301ms     550.131us           0 b           0 b           0 b           0 b             6  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       2.857ms         2.66%       2.857ms     476.238us           0 b           0 b           0 b           0 b             6  
void cudnn::bn_bw_1C11_kernel_new<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.386ms         2.22%       2.386ms     477.207us           0 b           0 b           0 b           0 b             5  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 71.715ms
Self CUDA time total: 107.420ms
