-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        23.37%      68.857ms        97.71%     287.900ms     287.900ms       0.000us         0.00%     115.628ms     115.628ms    -192.00 Mb    -192.00 Mb           0 b      -4.37 Gb             1  
                                             aten::item         0.05%     132.720us        49.38%     145.500ms       1.500ms       0.000us         0.00%       4.128us       0.043us           0 b           0 b           0 b           0 b            97  
                              aten::_local_scalar_dense         0.05%     149.731us        49.34%     145.367ms       1.499ms       4.128us         0.00%       4.128us       0.043us           0 b           0 b           0 b           0 b            97  
                                  cudaStreamSynchronize        49.27%     145.169ms        49.27%     145.169ms      29.034ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                                               aten::to         0.02%      73.511us        21.23%      62.560ms       3.293ms       0.000us         0.00%      61.692ms       3.247ms           0 b           0 b     192.00 Mb           0 b            19  
                                         aten::_to_copy         0.04%     104.241us        21.21%      62.487ms      31.243ms       0.000us         0.00%      61.692ms      30.846ms           0 b           0 b     192.00 Mb           0 b             2  
                                            aten::copy_         0.04%     121.683us        21.14%      62.290ms      31.145ms      61.692ms        13.48%      61.692ms      30.846ms           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync        21.12%      62.217ms        21.12%      62.217ms      12.443ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                              Optimizer.step#AdamW.step         1.03%       3.047ms         1.64%       4.833ms       4.833ms       0.000us         0.00%     175.647us     175.647us           0 b          -4 b           0 b      -2.80 Mb             1  
autograd::engine::evaluate_function: ConvolutionBack...         0.08%     238.782us         1.04%       3.052ms     203.440us       0.000us         0.00%      73.158ms       4.877ms           0 b           0 b    -989.34 Mb      -2.12 Gb            15  
                                   ConvolutionBackward0         0.06%     179.335us         0.91%       2.676ms     178.402us       0.000us         0.00%      69.193ms       4.613ms           0 b           0 b       1.16 Gb           0 b            15  
                             aten::convolution_backward         0.45%       1.336ms         0.85%       2.497ms     166.446us      69.193ms        15.12%      69.193ms       4.613ms           0 b           0 b       1.16 Gb       1.16 Gb            15  
                                       cudaLaunchKernel         0.75%       2.202ms         0.75%       2.202ms      10.057us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           219  
                                           aten::conv2d         0.03%      77.752us         0.62%       1.838ms     122.557us       0.000us         0.00%      29.583ms       1.972ms           0 b           0 b       1.47 Gb           0 b            15  
                                      aten::convolution         0.07%     193.252us         0.60%       1.761ms     117.374us       0.000us         0.00%      29.583ms       1.972ms           0 b           0 b       1.47 Gb           0 b            15  
                                       aten::batch_norm         0.02%      45.130us         0.58%       1.714ms     114.269us       0.000us         0.00%      11.641ms     776.041us           0 b           0 b       1.47 Gb           0 b            15  
                           aten::_batch_norm_impl_index         0.03%      94.890us         0.57%       1.669ms     111.260us       0.000us         0.00%      11.641ms     776.041us           0 b           0 b       1.47 Gb           0 b            15  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.09%     273.635us         0.55%       1.626ms     108.429us       0.000us         0.00%      20.320ms       1.355ms           0 b           0 b      -1.03 Gb      -2.50 Gb            15  
                                 aten::cudnn_batch_norm         0.24%     692.590us         0.53%       1.574ms     104.934us      11.641ms         2.54%      11.641ms     776.041us           0 b           0 b       1.47 Gb           0 b            15  
                                     aten::_convolution         0.04%     125.553us         0.53%       1.567ms     104.491us       0.000us         0.00%      29.583ms       1.972ms           0 b           0 b       1.47 Gb           0 b            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 294.651ms
Self CUDA time total: 457.754ms
